Test Key,Summary,Component,Priority,Pre-conditions,Steps,Expected Result
TC-01,"Valid credentials log the user into the VWO dashboard",Login,High,"Valid VWO email & password available (Needs clarification - external creds to be supplied); login page loaded at https://app.vwo.com/#/login","1. Enter valid email in ""Enter email ID"" field.`n2. Enter valid password in ""Enter password"" field.`n3. Click ""Sign in"" button.","User is navigated away from the login page (dashboard loads); no error notification box displayed; login form no longer visible."
TC-02,"Remember me checkbox is displayed and its selection state is respected",Login,Medium,"Login page loaded; valid credentials available (Needs clarification)","1. Verify ""Remember me"" checkbox is displayed next to the password field.`n2. Note default selection state (observed: unchecked - Inference, low confidence).`n3. Check ""Remember me"".`n4. Enter valid credentials and click ""Sign in"".","Checkbox is visible and clickable; selecting it does not block login; session persistence behavior after browser restart (Needs clarification - not specified in PRD)."
TC-03,"Password visibility toggle shows/hides the typed password",Login,Medium,"Login page loaded; any value entered in ""Enter password"" field","1. Type a value in ""Enter password"" field.`n2. Click the password visibility toggle (eye icon).`n3. Click the toggle again.","Password text is displayed in plain text after first toggle; masked (dots) again after second toggle."
TC-04,"Invalid credentials display an inline error and stay on the login page",Login,High,"Login page loaded","1. Enter an invalid email (e.g., invalid.user@example.com).`n2. Enter an invalid password.`n3. Click ""Sign in"".","Error notification box is displayed with a message (observed text: ""Your email, password, IP address or location did not match""); user remains on the login page; no navigation to dashboard."
TC-05,"Submitting with empty email and password shows validation/error",Login,High,"Login page loaded","1. Leave both ""Enter email ID"" and ""Enter password"" fields empty.`n2. Click ""Sign in"".","User remains on login page; validation or error notification displayed (exact message Needs clarification - not specified in PRD); no navigation."
TC-06,"Valid email with wrong password is rejected",Login,High,"Valid email available (Needs clarification); login page loaded","1. Enter a valid email.`n2. Enter an incorrect password.`n3. Click ""Sign in"".","Error notification box displayed (message Needs clarification - observed text for bad creds: ""Your email, password, IP address or location did not match""); user stays on login page."
TC-07,"Forgot Password link opens the password recovery flow",Login,High,"Login page loaded","1. Verify ""Forgot Password?"" link is displayed below the password field.`n2. Click the ""Forgot Password?"" link.","User is taken to the password recovery view (observed route: forgot-password form - Inference, low confidence); the recovery flow outcome (email dispatch, reset link) Needs clarification - not specified in PRD."
TC-08,"Boundary-length email and password inputs are handled",Login,Medium,"Login page loaded","1. Enter a 1-character value in the email field.`n2. Enter a 1-character value in the password field.`n3. Click ""Sign in"".`n4. Repeat with very long values (e.g., 256+ chars - exact max limit Needs clarification).","No crash or UI breakage; application responds with validation or login error (exact message Needs clarification); page remains functional."
TC-09,"Special characters and email aliases in credentials are handled",Login,Medium,"Login page loaded","1. Enter a password containing special characters (e.g., P@ssw0rd!$#).`n2. Enter an email with a plus alias (e.g., user+tag@example.com).`n3. Click ""Sign in"".","Application handles the input without error; either login proceeds (if credentials valid - Needs clarification) or an error notification is displayed (observed message format); no crash."
TC-10,"Whitespace padding in credentials is handled",Login,Medium,"Login page loaded","1. Enter a valid email with a leading/trailing space (e.g., "" user@example.com "").`n2. Enter a valid password with a trailing space (e.g., ""password "").`n3. Click ""Sign in"".","Application either trims the whitespace and proceeds, or shows a validation/error notification (exact behavior Needs clarification - not specified in PRD); no crash, no unexpected navigation."
