"Company Name","Job Title","Job Description"
"DevRev","Quality Engineer – Automation & AI","About DevRev

At DevRev, we're building the future of work with Computer – your AI teammate. Unlike traditional tools, Computer unifies all your data sources, tools, and workflows into a single AI-ready platform, giving employees real-time insights, proactive suggestions, and powerful agentic actions. It extends your existing software with AI-native apps and agents that work alongside your teams and customers – updating workflows, coordinating across teams, and eliminating repetitive work. We call this Team Intelligence: human-AI collaboration that breaks down silos, brings people back together, and frees you to solve bigger problems. Backed by Khosla Ventures and Mayfield with $150M+ raised, DevRev is trusted by global companies across industries.

About The Role
We are looking for a Quality Architect/Lead with hands-on experience building quality systems and has deep expertise in building and scaling test automation frameworks. The role requires an individual who applies systems thinking to solving complex problems. They should be able to understand the product from various perspectives and be able to effectively create testing programs that validate not just functionality but performance, reliability and user experience. DevRev is building a next generation AI native product that requires us to build novel test systems for the Agent AI platform. The role is multi-faceted and is going to continuously evolve with time.

What You'll Do
Test Case Design and Documentation: Actively use AI and intelligent agents to accelerate test generation, test maintenance, and coverage expansion. Leverage LLMs to convert requirements, user stories, and production incidents into high-quality automated test cases. Reduce reliance on manual test case creation by introducing AI-assisted automation workflows, with human review and ownership. Apply AI to optimize test selection, prioritization, and execution based on risk, code changes, and historical failures. Use AI to assist in identifying missing scenarios, edge cases, and negative paths from requirements and user behavior. Maintain strong traceability between product features, test cases, and automated coverage, with AI support for documentation updates and gap analysis.

Test Suite Development: Create frameworks and standards that help AI create deterministic and stable tests. Establish coding standards, branching strategies, and review guidelines for automation code. Integrate test execution into CI/CD pipelines with fast feedback loops and real-time reporting. Design and build tools that help with test generation, flakiness detection, self-healing tests, and intelligent exploratory testing. Champion shift-left testing by working closely with engineering, product, and DevOps teams to prevent defects early.

Quality Ownership and Continuous Improvement: Own the health and evolution of the automation framework. Build AI systems that triage test failures, flaky behavior, and production escapes. Continuously improve testing strategies based on learnings from releases, incidents, and customer impact. Promote a strong quality mindset where AI is used as a force multiplier, not a shortcut. Engage with customers and customer facing teams to understand their perspective and bring it back to Engineering for improving the product.

What You'll Bring: 7+ years of experience building customer-facing products. Skill in writing high-quality, maintainable code in any one programming language. Demonstrated experience building an automation framework from scratch, with organized test categorization, reusability, and CI/CD integration. Strong understanding of software testing methodologies, test planning, and test strategy. Familiarity with using AI to enhance testing and software development. Strong problem-solving skills and attention to detail. Experience with Git, GitHub, CircleCI and cloud services like AWS/GCP. Excellent communication, teamwork, and documentation skills, with a strong ability to advocate for best practices. Experience with testing modern web applications and Desktop applications based on Electron.

Preferred Skills: Experience with defining a QA strategy and execution for a product that is now live. Knowledge of test framework design and development. Strong understanding of test reporting tools and technologies. Experience with UI and API testing like Ginkgo and Playwright. Experience with Performance and Stress testing.

Nice to Have: People management skills (Direct or Indirect). Experience building systems to validate AI systems including Agents.

DevRev is an equal opportunity employer and does not discriminate on the basis of race, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or related condition, or any other basis protected by law."
"Celonis","AI Engineer - Quality","Celonis is the trusted platform to industrialize Enterprise AI. At our core is the Celonis Context Model — which combines process data, business knowledge, and intelligence into a living digital twin of the enterprise that AI can actually understand, turning AI's operational blind spots into operational clarity.

The Team: You will join the Sailfin Accounts Receivable (AR) Team, a product engineering team within the Finance & Accounting domain. We build and maintain an enterprise-grade AR product used by global customers. The team works with modern engineering practices, AI/ML capabilities, automation, and deep integrations across platforms such as Salesforce, Celonis, and other enterprise systems. This role sits at the intersection of Quality Engineering + AI-driven automation + enterprise data integration.

The Role: We are looking for an AI Engineer – Quality who can build next-generation intelligent automation and quality frameworks. This role goes beyond traditional QA—it combines strong automation engineering, enterprise integration understanding, and AI-assisted quality improvement. You will architect automation frameworks, drive end-to-end quality strategy, and build smart testing capabilities powered by LLMs and AI agents. Most importantly, you will test the bridge between Salesforce and Celonis—a complex, data-heavy integration that powers enterprise decision-making.

The work you'll do:
Architect the Automation Foundation - Design, build, and maintain a scalable, modular automation framework from scratch using Playwright (JavaScript/TypeScript). Establish reusable utilities, reporting systems, abstraction layers, and extensible test modules.
Drive Full QA Strategy across Frontend/UI, Backend/API, Data validation. Implement robust test coverage across the end-to-end workflow.
Integration Quality Specialist - Validate data integrity between Salesforce and Celonis. Identify edge cases involving complex business logic, process mining models, multi-step data transformations. Ensure consistency across pipelines, APIs, and event flows.
Performance & Load Testing - Lead performance engineering efforts using tools like k6 or JMeter. Ensure the integration performs reliably under large enterprise-scale data volumes.
AI-Driven Quality Engineering - Leverage LLMs and AI tools to auto-generate test cases, summarize failures, enable root-cause analysis, build intelligent test assistants. Support the shift from manual testing to AI-first Quality Engineering.

Qualifications: 6 years of experience in technical QA roles on high-scale web applications. Strong hands-on experience with Playwright (async patterns, state management, debugging, custom fixtures). Solid understanding of QA methodologies, regression strategies, risk-based testing, CI/CD pipelines (GitHub Actions preferred). Strong knowledge of API testing, data validation, and automation best practices.

AI / LLM Skills: Experience using LLM-powered QA tools (Copilot, Codeium, test generators). Ability to use LLMs or Python scripts to automate repetitive quality tasks.

Plus Factors: Experience working with Salesforce, Apex, or Salesforce data models. Understanding of Celonis or other process mining / data transformation platforms. Experience with performance testing tools like k6, JMeter, or Locust. Exposure to enterprise data pipelines or ETL validation.

Celonis is headquartered in Munich, Germany, and New York City, USA, with more than 20 offices worldwide."
"Apple","Quality Assurance Automation Engineer - Manufacturing Systems and Infrastructure","Summary: Apple is where individual imaginations gather together, committing to the values that lead to great work. Manufacturing Systems and Infrastructure (MSI) team is an engineering organisation under the Product Operations org. MSI is responsible for the design, development and maintenance of system tools, services and applications required to efficiently run manufacturing operations at scale across global factory sites.

Description: As a Quality Assurance Automation Engineer with the MSI team, you will leverage Large Language Models and AI-native testing tools to rapidly build, scale, and maintain automated test suites across web, mobile, and API interfaces. You will design intelligent automation frameworks, generate synthetic datasets for edge-case and load testing, and embed smart execution strategies into CI/CD pipelines - all while championing GenAI adoption and best practices across the QA organisation.

Responsibilities:
Leverage LLMs and AI coding assistants (e.g., GitHub Copilot, Cursor, ChatGPT) to rapidly generate, refactor, and document automated test scripts for web, mobile, and API interfaces.
Design, build, and maintain scalable test automation frameworks, integrating AI-native testing tools (e.g., Applitools for visual AI, Testim/Mabl for self-healing locators).
Utilise Generative AI to design and generate massive, diverse, and secure synthetic datasets for complex edge-case testing and load testing.
Integrate automated suites into CI/CD pipelines (GitHub Actions, Jenkins) and implement ""smart execution"" strategies (using ML/AI to determine exactly which tests need to run based on the code commit).
Utilise AI tools to rapidly parse server logs, stack traces, and crash reports to identify root causes of test failures, categorising bugs automatically.
Partner with product and engineering teams to define test strategies, ensuring maximum test coverage while reducing maintenance overhead through intelligent automation.
Champion the use of AI within the QA team, creating prompt libraries, guidelines, and best practices for using GenAI to write test cases and acceptance criteria.

Minimum Qualifications: 5+ years of experience in QA Automation, System Development in Test (SDET), or a similar engineering role. Expertise in Python, C/C++, Objective-C, and Swift, leveraging modern AI-assisted (vibe coding) development workflows. Deep experience applying AI-powered techniques to generate, optimise, and maintain automated test suites with modern testing frameworks such as Playwright, Cypress, Selenium, Appium, or XCTest. Demonstrated ability to write effective prompts to extract test scenarios, edge cases, and automation code from Large Language Models. Familiarity with AI-powered testing tools (e.g., Applitools Eyes, ReportPortal's ML auto-analyzer, or self-healing UI tools). Solid understanding of CI/CD pipelines, Docker, and version control (Git). Ability and willingness to travel up to 30% (domestic and international). Bachelors / Masters in Computer Science or related fields.

Preferred Qualifications: Experience designing and generating synthetic datasets for large-scale load and edge-case testing. Hands-on experience implementing ML/AI-driven smart test-selection or ""smart execution"" strategies in CI/CD. Experience building and curating prompt libraries or GenAI usage guidelines for a QA or engineering organisation. Excellent written and verbal communication skills. Self-motivated with a strong ownership mindset. Strong problem-solving skills with a focus on reducing ""flaky tests"" through resilient coding and AI insights.

Role Number: 200673291-0321"
"Zensar Technologies","Assure AI Engineer","Job Description: Gemini – AssureAI Engineer (2 positions)
Keywords: AssureAI, Evaluation Datasets, Red-Teaming, Bias & Explainability (SHAP/LIME), Threshold Gates, CI/CD, Audit Evidence, Python

About The Role: You are one of two hands-on operators of AssureAI's Trustworthiness pillar inside the Governance Control Tower. Where the AI Trust & Compliance Engineer sets the strategy — which regulations map to which checks, what a passing threshold means — you build and run the evaluation suites that prove it, day in and day out, across a growing roster of Gemini-based agents. You report to the AI Trust & Compliance Engineer and work closely with the AI Engineers building the agents you test.

What You'll Own:
Build and maintain evaluation datasets and scenarios for each of AssureAI's 19 Trustworthiness checks (explainability, audit provenance, regulation coverage, safety guardrails) as new agents come online.
Run scheduled and on-commit bias, toxicity, red-team, and explainability (SHAP/LIME) suites; triage failures and route them to the right owner (AI Engineer, Integration Specialist, or Governance Engineer).
Maintain the CI/CD threshold-gate configuration so a failing Trustworthiness check blocks release rather than just flagging it.
Package audit evidence — run provenance, evidence exportability, regulation-coverage reports — for the AI Trust & Compliance Engineer's CSG review-board submissions.
Track dataset coverage and flag gaps as agent scope expands into new domains, data types, or regulatory contexts.
Split coverage with the second AssureAI Engineer across agent domains or pipeline stages so evaluation throughput scales with agent count.

What We're Looking For: 5-7 years in QA/test engineering for ML or GenAI systems, ideally with a dedicated eval framework (DeepEval, Ragas, Promptfoo, or comparable). Hands-on experience with AssureAI or a directly comparable AI-assurance/evaluation platform. Working knowledge of bias/fairness testing, explainability techniques (SHAP/LIME), and red-teaming/adversarial-prompt methodology. Comfortable reading AI regulatory requirements (EU AI Act, NIST AI RMF, ISO/IEC 42001) well enough to translate them into test coverage. Proficient in Python; comfortable wiring test suites into CI/CD (Cloud Build, GitHub Actions). Detail-oriented and comfortable owning a queue of failing checks across multiple agents at once.

Nice to Have: Experience with Gemini Enterprise / ADK agents specifically, or another enterprise agent platform. Familiarity with RAG evaluation (faithfulness, hallucination, context precision/recall). Prior audit or compliance-adjacent work (SOC 2, ISO 27001, or similar).

What Success Looks Like: By month two: every live agent has an active Trustworthiness evaluation suite running on every commit, with clear pass/fail thresholds. By month four: audit-evidence packages are produced on a standing cadence without ad hoc requests, and dataset coverage gaps are tracked and closed as new agents onboard.

About Us: At Zensar, we're ""experience-led everything."" We are committed to conceptualizing, designing, engineering, marketing, and managing digital solutions and experiences for over 130 leading enterprises. Part of the $4.8 billion RPG Group, we're a community of 10,000+ innovators across 30+ global locations."
"Opkey","AI QA ENGINEER","Job Title: AI | QA Engineer
Location: Bangalore, India (On-site)
Department: AI & Automation

About The Company: Opkey is the leading Cloud Application Lifecycle Management (CALM) platform for Oracle, Workday, Salesforce, Coupa, and more. It cuts the costs and risks that drag down implementations and ongoing change, helping you go live on time, get more from your cloud app investments, and reach AI readiness faster. Opkey's 20+ AI agents manage all five phases of the cloud application lifecycle—Define, Design, Configure, Test and Train. Powered by Argus, a domain-specific AI model trained on decades of expertise and terabytes of enterprise application data, Opkey automates configuration, testing, change impact analysis, and training across these applications—cutting manual effort by 80%, enabling 30% faster go-lives, and slashing downtime risk by 92%.

About The Role: We are looking for a skilled AI QA Engineer to join our ERP automation team at Opkey. You will work closely with AI developers to test, validate, and ensure the quality of AI-powered agents built for enterprise ERP workflows.

Key Responsibilities: Design, develop, and execute test strategies for AI agents used in ERP automation pipelines. Validate the behavior, accuracy, and reliability of AI agent outputs across various ERP scenarios. Collaborate with AI developers to understand agent architecture and identify edge cases. Build and maintain automated test frameworks tailored for LLM-based and agentic systems. Perform functional, regression, integration, and performance testing on AI-driven workflows. Monitor AI agent performance post-deployment and flag anomalies or drift in behavior. Write detailed test plans, bug reports, and QA documentation specific to AI systems. Conduct prompt testing and evaluate AI responses for correctness, consistency, and safety. Build and maintain internal QA dashboards and reporting tools for real-time test visibility. Participate in Agile/Scrum ceremonies including sprint planning, standups, retrospectives, and backlog grooming as the QA representative. Conduct thorough Root Cause Analysis (RCA) on defects, test failures, and AI agent misbehaviors and present findings to the team. Follow and contribute to SDLC and STLC processes ensuring quality gates are met at every stage of development.

Required Skills & Experience: 2–4 years of hands-on experience as a QA Engineer in software or automation products. Strong understanding of SDLC and STLC methodologies. Hands-on experience working in Agile/Scrum teams with familiarity in tools like Jira or Azure DevOps. Proficiency in Python for writing test scripts, automation utilities, and data validators. Experience building lightweight internal tools or test dashboards using Streamlit. Solid understanding of AI agents, LLMs, RAG pipelines, and agentic frameworks (LangChain, AutoGen, CrewAI, etc.). Experience testing API-based systems, microservices, and complex backend workflows. Proficiency with test automation tools such as Selenium, Pytest, Postman, or similar. Proven ability to perform Root Cause Analysis on complex bugs and systemic failures with clear documentation. Familiarity with ERP platforms (SAP, Oracle, Salesforce, etc.) is a strong plus. Knowledge of prompt engineering and how to test AI model behavior systematically. Experience with CI/CD pipelines and integrating automated tests into DevOps workflows.

AI Certifications (Required / Preferred): Certification in AI/ML fundamentals — Google, Microsoft (Azure AI), AWS, or IBM preferred. Certification in Generative AI or LLM-related technologies. Any recognized certification in AI Agent development or Agentic frameworks is a strong plus.

Skills: llm, pytest, ai agents, selenium, postman, rag pipelines"
"Bytebeam","QA Engineer (SDE 3)","About Bytebeam: Bytebeam builds the hardware and software stacks that power the next generation of connected vehicles. Our products cover device telemetry, remote diagnostics, OTA updates, alerts, fleet workflows, and the hardware that runs in vehicles at scale.

Role Overview: We are hiring a senior QA engineer to own release confidence across Bytebeam's products and build agentic automations that help developers test, debug, validate, and ship faster. This is a hands-on automation, tooling, and quality-ownership role, not a test-case coordination role.

What You'll Do:
Own risk-based test strategy and release-readiness decisions across web, API, data, and connected-device workflows.
Build and maintain automated coverage across browser, API, integration, performance, and failure scenarios.
Build agentic automations and developer tooling that improve the engineering lifecycle, from local development to release validation.
Design testability with engineers while features are being shaped, not after implementation.
Create reliable environments, fixtures, mocks, data builders, and diagnostic tooling.
Track escaped defects and flakiness to root causes and drive corrective changes.
Mentor QA interns and improve how the wider engineering team tests, debugs, and reports quality.

Must-Have Skills: 5+ years testing production software, with strong hands-on automation experience. Strong Python or TypeScript and experience with tools such as Playwright, pytest, k6, or equivalent. Experience testing APIs, distributed workflows, data pipelines, and asynchronous behavior. Ability to build practical developer-facing tools, automations, and diagnostics that reduce manual effort and improve feedback loops. Ability to make clear release judgments from evidence and communicate risk precisely.

Good-to-Have: IoT, fleet, telematics, OTA, edge-device, or unreliable-network testing. Experience building CI quality gates and observability-driven test diagnostics. Experience building AI-assisted or agentic workflows for testing, debugging, triage, or developer productivity.

What Success Looks Like: The team releases more frequently with fewer regressions, and developers have better tools and automations to validate changes, diagnose failures, and move faster through the development lifecycle."
"Hewlett Packard Enterprise","QA Automation Engineer – GenAI, Storage & System Testing","This role has been designed as ""Onsite"" with an expectation that you will primarily work from an HPE partner/customer office.

Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud.

Job Description
What You'll Do: Design and develop scalable automation frameworks using Python or Perl. Build and enhance AI-driven QA solutions, including GenAI-based test generation, defect triage, and log analysis. Develop and execute system-level tests to validate performance, reliability, and scalability of storage and OS environments. Create tools for log parsing, data collection, and automated validation to support intelligent testing workflows. Analyze system architecture and define efficient test strategies across storage, OS, and networking layers. Integrate automation into CI/CD pipelines to enable continuous testing. Collaborate with development teams to identify, debug, and resolve defects early. Drive innovation through AI-assisted testing and automation improvements.

What You Need to Bring: 4–8 years of experience in QA automation, system testing, or storage testing. Strong programming skills in Python or Perl. Solid understanding of testing principles, debugging, and automation design. Hands-on experience with Linux/Unix systems. Familiarity with automation frameworks such as pytest or unittest. Understanding of CI/CD tools like Jenkins or GitHub Actions. Exposure to storage concepts (SAN/NAS, RAID, file systems) and system-level testing. Basic knowledge of networking and distributed systems is a plus. Experience or interest in Generative AI, LLMs, or AI-driven testing approaches. Strong analytical thinking, problem-solving skills, and ability to work collaboratively.

Additional Skills: Cloud Architectures, Cross Domain Knowledge, Design Thinking, Development Fundamentals, DevOps, Distributed Computing, Microservices Fluency, Full Stack Development, Security-First Mindset, Solutions Design, Testing & Automation, User Experience (UX).

Job Level: TCP_03. #india #hybridcloud"
"Get Well","Senior AI QA Engineer","Title: Senior AI QA Engineer
Location: Bengaluru (Bangalore)

Opportunity: As a Senior AI QA Engineer for our Precision Patient Care Pipeline, you will go beyond traditional functional testing. You will be responsible for building the framework that ensures our clinical insights are accurate, safe, and reliable. This role requires a unique blend of high-level software testing and data engineering to validate complex, non-deterministic medical outputs using a hybrid of automated grading methodologies.

Key Responsibilities:
Architect Multi-Layered Validation Frameworks: Design and implement structured testing strategies that combine deterministic checks, semantic similarity metrics, and model-based evaluations.
Automated Model Grading: Develop systems to evaluate clinical pipeline outputs for faithfulness, safety, and hallucination detection using various automated scoring techniques (e.g., BERTScore, ROUGE, or custom heuristics).
Vibe-Driven Development: Leverage agentic AI tools to rapidly prototype complex test harnesses, ""red-team"" clinical logic, and build internal validation utilities at high velocity.
Data Pipeline Integrity: Execute integration and regression tests for data-heavy backend processes, ensuring medical data remains consistent from ingestion to insight generation.
Collaborative Strategy: Work closely with Data Scientists and Product Managers to define ""Ground Truth"" datasets and clinical evaluation rubrics.
Root Cause Analysis: Deep-dive into complex system failures to identify whether issues stem from code logic, data drift, or model behavior.

Requirements: 6+ years of technical experience in Quality Assurance, with a strong focus on system architecture and backend data validation. Advanced Python Proficiency for building custom test scripts and working within AI/ML ecosystems. AI/ML Validation Experience with diverse metrics (Semantic Similarity, NLP metrics, custom scoring algorithms). Familiarity with tools like LangSmith, Arize Phoenix, or MLflow. Vibe Coding Mastery with AI-native development tools such as Cursor, Windsurf, Claude Code. Modern Automation Stack: PyTest, plus Cypress, Playwright, or Selenium. API & Data Testing: Postman/RestAssured and database validation (SQL/NoSQL). Strategic Thinking: SME experience on test process development for large-scale systems.

Preferred: Clinical Domain Knowledge (FHIR, HL7, SNOMED CT). Healthcare Compliance: HIPAA regulations and ePHI/PHI handling. Statistical Foundation: sensitivity, specificity, and F1-scores in a clinical context.

About GW RhythmX: GW RhythmX is revolutionizing healthcare through connected, AI-native intelligence that unites clinical insight, patient engagement, and system-wide care orchestration. Its solutions are deployed across more than 150 health systems, touching more than 85M patients including 8M U.S. military veterans. A SymphonyAI Group company, GW RhythmX leverages various firm assets, including $1B+ in R&D investment, longitudinal data related to 300 million patients, 4.4 billion total annual claims, and 1.8 million healthcare professionals at more than 3,000 facilities globally."
"Equinix","AI Automation Engineer - Test Generation & Agent Systems (Sr Staff)","Who are we? Equinix is the world's digital infrastructure company®, shortening the path to connectivity to enable the innovations that enrich our work, life and planet.

About The Role: This is one of the most technically novel roles in the team. You will build the intelligence layer of our QE platform: a pipeline that takes a Jira ticket or product specification and produces a first-draft Playwright test using Claude, and an autonomous agent that monitors the live test suite, detects flakiness, diagnoses root causes, and proposes or applies fixes. The quality of your agent layer will directly determine how fast the rest of the team can move.

What You'll Own:
Design and build the Claude-powered test generation pipeline: product spec or Jira ticket in, first-draft Playwright test out.
Build the test maintenance agent: continuously monitors the suite, detects flaky or failing tests, diagnoses causes, and proposes or auto-applies fixes with human-in-the-loop review.
Own the prompt engineering layer: maintain the prompt library, build an evaluation harness, and score generated test quality systematically.
Define the acceptance workflow: which AI-generated tests require engineer review before merge, and which meet the bar for automatic acceptance.
Instrument the agent layer: track cost per test generated, acceptance rate, time-to-fix for maintenance interventions, and overall flakiness reduction.
Partner closely with automation engineers to understand product domain nuance and improve generation quality for complex business logic.
Stay current with fast-moving LLM tooling and evaluate new approaches that could improve speed or quality.

MUST HAVE: Production experience with the Anthropic Claude API or OpenAI API — specifically tool use, multi-step agent patterns, and structured output. 8+ years of strong TypeScript or Python. Ability to evaluate LLM output quality rigorously: you build evals, not just vibes checks. Experience designing agentic systems that handle failure gracefully: retries, fallbacks, and human escalation paths. Comfort with ambiguity and incomplete requirements.

NICE TO HAVE: Playwright or comparable E2E test framework experience. Experience with test infrastructure: fixture factories, seed scripts, environment isolation. Prior work building agents with persistent memory, multi-tool orchestration, or complex retry logic.

Equinix is committed to ensuring that our employment process is open to all individuals, including those with a disability."
"Docent (now Get Well)","Senior AI QA Engineer","Title: Senior AI QA Engineer
Location: Bengaluru (Bangalore)

Opportunity: As a Senior AI QA Engineer for our Precision Patient Care Pipeline, you will go beyond traditional functional testing. You will be responsible for building the framework that ensures our clinical insights are accurate, safe, and reliable. This role requires a unique blend of high-level software testing and data engineering to validate complex, non-deterministic medical outputs using a hybrid of automated grading methodologies.

Key Responsibilities: Architect Multi-Layered Validation Frameworks combining deterministic checks, semantic similarity metrics, and model-based evaluations. Automated Model Grading using BERTScore, ROUGE, or custom heuristics for faithfulness, safety, and hallucination detection. Vibe-Driven Development: leverage agentic AI tools to rapidly prototype complex test harnesses, ""red-team"" clinical logic, and build internal validation utilities. Data Pipeline Integrity: execute integration and regression tests for data-heavy backend processes. Collaborative Strategy with Data Scientists and Product Managers to define ""Ground Truth"" datasets and clinical evaluation rubrics. Root Cause Analysis for complex system failures.

Requirements: 6+ years of technical experience in Quality Assurance, with a strong focus on system architecture and backend data validation. Advanced Python Proficiency. AI/ML Validation Experience (Semantic Similarity, NLP metrics, custom scoring algorithms; LangSmith, Arize Phoenix, MLflow). Vibe Coding Mastery with Cursor, Windsurf, Claude Code. Modern Automation Stack: PyTest, Cypress, Playwright, or Selenium. API & Data Testing: Postman/RestAssured, SQL/NoSQL. Strategic Thinking as SME on test process development.

Preferred: Clinical Domain Knowledge (FHIR, HL7, SNOMED CT). Healthcare Compliance: HIPAA, ePHI/PHI. Statistical Foundation: sensitivity, specificity, F1-scores.

About GW RhythmX: GW RhythmX is revolutionizing healthcare through connected, AI-native intelligence uniting clinical insight, patient engagement, and system-wide care orchestration. Deployed across 150+ health systems, touching 85M+ patients including 8M U.S. military veterans. A SymphonyAI Group company with $1B+ R&D investment, data on 300 million patients, 4.4 billion annual claims, and 1.8 million healthcare professionals across 3,000+ facilities globally."
